timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713274296234,5,Get Owner,200,,Thread Group 1-1,text,true,,5643,124,1,1,http://localhost:8080/owners/6,5,0,1
1713274296239,4,Get Owner,200,,Thread Group 1-1,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,0
1713274296243,4,Get Owner,200,,Thread Group 1-1,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,0
1713274296249,5,Get Owner,200,,Thread Group 1-2,text,true,,5643,124,1,1,http://localhost:8080/owners/6,5,0,1
1713274296254,4,Get Owner,200,,Thread Group 1-2,text,true,,5643,124,1,1,http://localhost:8080/owners/6,4,0,0
1713274296258,2,Get Owner,200,,Thread Group 1-2,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296264,5,Get Owner,200,,Thread Group 1-3,text,true,,5643,124,2,2,http://localhost:8080/owners/6,5,0,1
1713274296265,4,Get Owner,200,,Thread Group 1-4,text,true,,5643,124,2,2,http://localhost:8080/owners/6,4,0,1
1713274296269,4,Get Owner,200,,Thread Group 1-4,text,true,,5643,124,2,2,http://localhost:8080/owners/6,4,0,0
1713274296269,4,Get Owner,200,,Thread Group 1-3,text,true,,5643,124,2,2,http://localhost:8080/owners/6,4,0,0
1713274296273,3,Get Owner,200,,Thread Group 1-4,text,true,,5643,124,2,2,http://localhost:8080/owners/6,3,0,0
1713274296273,3,Get Owner,200,,Thread Group 1-3,text,true,,5643,124,2,2,http://localhost:8080/owners/6,3,0,0
1713274296280,5,Get Owner,200,,Thread Group 1-5,text,true,,5643,124,1,1,http://localhost:8080/owners/6,5,0,1
1713274296285,3,Get Owner,200,,Thread Group 1-5,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,0
1713274296288,4,Get Owner,200,,Thread Group 1-5,text,true,,5643,124,1,1,http://localhost:8080/owners/6,4,0,0
1713274296295,4,Get Owner,200,,Thread Group 1-7,text,true,,5643,124,2,2,http://localhost:8080/owners/6,4,0,1
1713274296295,4,Get Owner,200,,Thread Group 1-6,text,true,,5643,124,2,2,http://localhost:8080/owners/6,4,0,1
1713274296299,3,Get Owner,200,,Thread Group 1-6,text,true,,5643,124,2,2,http://localhost:8080/owners/6,3,0,0
1713274296299,3,Get Owner,200,,Thread Group 1-7,text,true,,5643,124,2,2,http://localhost:8080/owners/6,3,0,0
1713274296302,3,Get Owner,200,,Thread Group 1-6,text,true,,5643,124,3,3,http://localhost:8080/owners/6,3,0,0
1713274296302,3,Get Owner,200,,Thread Group 1-7,text,true,,5643,124,3,3,http://localhost:8080/owners/6,3,0,0
1713274296304,5,Get Owner,200,,Thread Group 1-8,text,true,,5643,124,1,1,http://localhost:8080/owners/6,5,0,1
1713274296309,4,Get Owner,200,,Thread Group 1-8,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,0
1713274296313,5,Get Owner,200,,Thread Group 1-8,text,true,,5643,124,2,2,http://localhost:8080/owners/6,5,0,0
1713274296314,9,Get Owner,200,,Thread Group 1-9,text,true,,5643,124,1,1,http://localhost:8080/owners/6,8,0,1
1713274296324,3,Get Owner,200,,Thread Group 1-10,text,true,,5643,124,2,2,http://localhost:8080/owners/6,3,0,1
1713274296323,4,Get Owner,200,,Thread Group 1-9,text,true,,5643,124,2,2,http://localhost:8080/owners/6,4,0,0
1713274296327,3,Get Owner,200,,Thread Group 1-10,text,true,,5643,124,2,2,http://localhost:8080/owners/6,3,0,0
1713274296327,3,Get Owner,200,,Thread Group 1-9,text,true,,5643,124,2,2,http://localhost:8080/owners/6,3,0,0
1713274296330,2,Get Owner,200,,Thread Group 1-10,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296334,4,Get Owner,200,,Thread Group 1-11,text,true,,5643,124,1,1,http://localhost:8080/owners/6,4,0,1
1713274296338,2,Get Owner,200,,Thread Group 1-11,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296340,3,Get Owner,200,,Thread Group 1-11,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296344,4,Get Owner,200,,Thread Group 1-12,text,true,,5643,124,1,1,http://localhost:8080/owners/6,4,0,1
1713274296348,3,Get Owner,200,,Thread Group 1-12,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296351,2,Get Owner,200,,Thread Group 1-12,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296354,4,Get Owner,200,,Thread Group 1-13,text,true,,5643,124,1,1,http://localhost:8080/owners/6,4,0,1
1713274296358,2,Get Owner,200,,Thread Group 1-13,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296360,2,Get Owner,200,,Thread Group 1-13,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296364,3,Get Owner,200,,Thread Group 1-14,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296367,2,Get Owner,200,,Thread Group 1-14,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296369,2,Get Owner,200,,Thread Group 1-14,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296377,3,Get Owner,200,,Thread Group 1-15,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296380,2,Get Owner,200,,Thread Group 1-15,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296382,1,Get Owner,200,,Thread Group 1-15,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296385,3,Get Owner,200,,Thread Group 1-16,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296388,2,Get Owner,200,,Thread Group 1-16,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296390,1,Get Owner,200,,Thread Group 1-16,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296395,3,Get Owner,200,,Thread Group 1-17,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296398,2,Get Owner,200,,Thread Group 1-17,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296400,1,Get Owner,200,,Thread Group 1-17,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296404,3,Get Owner,200,,Thread Group 1-18,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296407,1,Get Owner,200,,Thread Group 1-18,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296408,2,Get Owner,200,,Thread Group 1-18,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296414,3,Get Owner,200,,Thread Group 1-19,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296417,2,Get Owner,200,,Thread Group 1-19,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296419,2,Get Owner,200,,Thread Group 1-19,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296424,3,Get Owner,200,,Thread Group 1-20,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296427,2,Get Owner,200,,Thread Group 1-20,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296429,2,Get Owner,200,,Thread Group 1-20,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296435,4,Get Owner,200,,Thread Group 1-21,text,true,,5643,124,1,1,http://localhost:8080/owners/6,4,0,1
1713274296439,2,Get Owner,200,,Thread Group 1-21,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296441,2,Get Owner,200,,Thread Group 1-21,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296444,3,Get Owner,200,,Thread Group 1-22,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296447,2,Get Owner,200,,Thread Group 1-22,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296449,2,Get Owner,200,,Thread Group 1-22,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296453,3,Get Owner,200,,Thread Group 1-23,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296456,2,Get Owner,200,,Thread Group 1-23,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296458,2,Get Owner,200,,Thread Group 1-23,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
1713274296463,4,Get Owner,200,,Thread Group 1-24,text,true,,5643,124,1,1,http://localhost:8080/owners/6,4,0,1
1713274296467,1,Get Owner,200,,Thread Group 1-24,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296468,1,Get Owner,200,,Thread Group 1-24,text,true,,5643,124,1,1,http://localhost:8080/owners/6,1,0,0
1713274296473,3,Get Owner,200,,Thread Group 1-25,text,true,,5643,124,1,1,http://localhost:8080/owners/6,3,0,1
1713274296476,2,Get Owner,200,,Thread Group 1-25,text,true,,5643,124,1,1,http://localhost:8080/owners/6,2,0,0
