GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PetClinicModulithAsync,org.springframework.samples.Visit.service,VisitManagement,0,32,0,0,0,6,0,3,0,3
PetClinicModulithAsync,org.springframework.samples.Vet.repository,VetRepositoryImpl,114,9,4,0,18,3,6,1,4,1
PetClinicModulithAsync,org.springframework.samples.Vet.repository,VetRepositoryImpl.VetRowMapper,22,0,0,0,5,0,1,0,1,0
PetClinicModulithAsync,org.springframework.samples.Vet.repository,VetRepositoryImpl.SpecialtyRowMapper,17,0,0,0,4,0,1,0,1,0
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerPet,21,45,0,0,8,20,2,13,2,13
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerPetVisitBuilder,0,49,0,0,0,14,0,7,0,7
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerBuilder,0,82,0,0,0,27,0,9,0,9
PetClinicModulithAsync,org.springframework.samples.Owner.model,Owner,0,86,0,0,0,32,0,16,0,16
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerPet.Visit,0,15,0,0,0,1,0,1,0,1
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerPetBuilder,0,74,0,0,0,23,0,8,0,8
PetClinicModulithAsync,org.springframework.samples.system,CrashController,5,3,0,0,1,1,1,1,1,1
PetClinicModulithAsync,org.springframework.samples.system,CacheConfiguration,13,6,0,0,1,2,2,2,2,2
PetClinicModulithAsync,org.springframework.samples.system,WelcomeController,2,3,0,0,1,1,1,1,1,1
PetClinicModulithAsync,org.springframework.samples.notifications,SavePetEvent,28,45,0,0,14,16,7,8,7,8
PetClinicModulithAsync,org.springframework.samples.notifications,AddVisitPet,43,0,0,0,18,0,9,0,9,0
PetClinicModulithAsync,org.springframework.samples.notifications,AddVisitEvent,16,27,0,0,8,10,4,5,4,5
PetClinicModulithAsync,org.springframework.samples,PetClinicDataSourceConfig,6,139,0,0,1,40,1,12,1,12
PetClinicModulithAsync,org.springframework.samples,PetClinicRuntimeHints,24,0,0,0,6,0,2,0,2,0
PetClinicModulithAsync,org.springframework.samples,PetClinicApplication,5,15,0,0,2,5,1,5,1,5
PetClinicModulithAsync,org.springframework.samples.Pet.repository,PetRepositoryImpl,70,61,1,1,8,10,3,4,2,4
PetClinicModulithAsync,org.springframework.samples.Pet.repository,PetTypeRepositoryImpl,11,14,0,0,1,4,1,2,1,2
PetClinicModulithAsync,org.springframework.samples.Vet.model,VetBuilder,0,70,0,0,0,20,0,7,0,7
PetClinicModulithAsync,org.springframework.samples.Vet.model,Vet,7,82,0,4,3,27,2,15,2,13
PetClinicModulithAsync,org.springframework.samples.Vet.model,Vets,0,14,0,2,0,4,0,3,0,2
PetClinicModulithAsync,org.springframework.samples.Vet.model,Specialty,22,11,2,0,7,6,6,3,5,3
PetClinicModulithAsync,org.springframework.samples.Vet.model,SpecialtyBuilder,0,34,0,0,0,11,0,5,0,5
PetClinicModulithAsync,org.springframework.samples.config,OpenAPIConfig,0,59,0,0,0,18,0,4,0,4
PetClinicModulithAsync,org.springframework.samples.Vet.controller,VetController,0,82,0,0,0,17,0,5,0,5
PetClinicModulithAsync,org.springframework.samples.Visit.controller,VisitController,9,57,0,4,2,15,1,6,1,4
PetClinicModulithAsync,org.springframework.samples.Owner.repository,OwnerRepositoryImpl,9,176,1,3,3,37,1,6,0,5
PetClinicModulithAsync,org.springframework.samples.Owner.repository,OwnerPetRepositoryImpl,136,26,4,0,17,8,5,3,3,3
PetClinicModulithAsync,org.springframework.samples.Owner.service,OwnerManagement,34,142,0,6,6,29,2,9,2,6
PetClinicModulithAsync,org.springframework.samples.Pet.model,Pet,10,66,0,0,3,25,3,12,3,12
PetClinicModulithAsync,org.springframework.samples.Pet.model,PetTypeBuilder,0,38,0,0,0,12,0,5,0,5
PetClinicModulithAsync,org.springframework.samples.Pet.model,PetType,9,17,0,0,4,8,2,5,2,5
PetClinicModulithAsync,org.springframework.samples.Pet.model,PetBuilder,0,80,0,0,0,23,0,8,0,8
PetClinicModulithAsync,org.springframework.samples.Pet.model,PetVisitBuilder,49,0,0,0,14,0,7,0,7,0
PetClinicModulithAsync,org.springframework.samples.Pet.model,Pet.Visit,15,0,0,0,1,0,1,0,1,0
PetClinicModulithAsync,org.springframework.samples.Visit.model,Visit,22,34,2,0,7,15,3,9,2,9
PetClinicModulithAsync,org.springframework.samples.Visit.model,VisitBuilder,0,62,0,0,0,19,0,7,0,7
PetClinicModulithAsync,org.springframework.samples.Vet.service,VetManagement,0,15,0,0,0,3,0,3,0,3
PetClinicModulithAsync,org.springframework.samples.Owner.controller,OwnerController,3,228,2,14,1,51,2,18,0,12
PetClinicModulithAsync,org.springframework.samples.Visit.repository,VisitRepositoryImpl,56,6,0,0,7,3,4,1,4,1
PetClinicModulithAsync,org.springframework.samples.Pet.controller,PetController,9,121,2,12,2,30,3,12,1,7
PetClinicModulithAsync,org.springframework.samples.Pet.service,PetManagement,29,60,0,2,3,9,1,6,1,5
PetClinicModulithAsync,org.springframework.samples.Pet.service,PetTypeFormatter,32,6,4,0,7,3,4,1,2,1
