GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PetClinicModulithAsync,org.springframework.samples.Visit.service,VisitManagement,0,32,0,0,0,6,0,3,0,3
PetClinicModulithAsync,org.springframework.samples.Vet.repository,VetRepositoryImpl,123,0,4,0,21,0,7,0,5,0
PetClinicModulithAsync,org.springframework.samples.Vet.repository,VetRepositoryImpl.VetRowMapper,22,0,0,0,5,0,1,0,1,0
PetClinicModulithAsync,org.springframework.samples.Vet.repository,VetRepositoryImpl.SpecialtyRowMapper,17,0,0,0,4,0,1,0,1,0
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerPet,30,36,0,0,11,17,5,10,5,10
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerPetVisitBuilder,0,49,0,0,0,14,0,7,0,7
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerBuilder,0,82,0,0,0,27,0,9,0,9
PetClinicModulithAsync,org.springframework.samples.Owner.model,Owner,0,86,0,0,0,32,0,16,0,16
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerPet.Visit,0,15,0,0,0,1,0,1,0,1
PetClinicModulithAsync,org.springframework.samples.Owner.model,OwnerPetBuilder,0,74,0,0,0,23,0,8,0,8
PetClinicModulithAsync,org.springframework.samples.system,CrashController,8,0,0,0,2,0,2,0,2,0
PetClinicModulithAsync,org.springframework.samples.system,CacheConfiguration,19,0,0,0,3,0,4,0,4,0
PetClinicModulithAsync,org.springframework.samples.system,WelcomeController,5,0,0,0,2,0,2,0,2,0
PetClinicModulithAsync,org.springframework.samples.notifications,SavePetEvent,34,39,0,0,16,14,9,6,9,6
PetClinicModulithAsync,org.springframework.samples.notifications,AddVisitPet,43,0,0,0,18,0,9,0,9,0
PetClinicModulithAsync,org.springframework.samples.notifications,AddVisitEvent,16,27,0,0,8,10,4,5,4,5
PetClinicModulithAsync,org.springframework.samples,PetClinicDataSourceConfig,145,0,0,0,41,0,13,0,13,0
PetClinicModulithAsync,org.springframework.samples,PetClinicRuntimeHints,24,0,0,0,6,0,2,0,2,0
PetClinicModulithAsync,org.springframework.samples,PetClinicApplication,20,0,0,0,7,0,6,0,6,0
PetClinicModulithAsync,org.springframework.samples.Pet.repository,PetRepositoryImpl,131,0,2,0,18,0,7,0,6,0
PetClinicModulithAsync,org.springframework.samples.Pet.repository,PetTypeRepositoryImpl,25,0,0,0,5,0,3,0,3,0
PetClinicModulithAsync,org.springframework.samples.Vet.model,VetBuilder,0,70,0,0,0,20,0,7,0,7
PetClinicModulithAsync,org.springframework.samples.Vet.model,Vet,7,82,0,4,3,27,2,15,2,13
PetClinicModulithAsync,org.springframework.samples.Vet.model,Vets,0,14,0,2,0,4,0,3,0,2
PetClinicModulithAsync,org.springframework.samples.Vet.model,Specialty,22,11,2,0,7,6,6,3,5,3
PetClinicModulithAsync,org.springframework.samples.Vet.model,SpecialtyBuilder,0,34,0,0,0,11,0,5,0,5
PetClinicModulithAsync,org.springframework.samples.config,OpenAPIConfig,59,0,0,0,18,0,4,0,4,0
PetClinicModulithAsync,org.springframework.samples.Vet.controller,VetController,0,82,0,0,0,17,0,5,0,5
PetClinicModulithAsync,org.springframework.samples.Visit.controller,VisitController,9,57,0,4,2,15,1,6,1,4
PetClinicModulithAsync,org.springframework.samples.Owner.repository,OwnerRepositoryImpl,185,0,4,0,40,0,7,0,5,0
PetClinicModulithAsync,org.springframework.samples.Owner.repository,OwnerPetRepositoryImpl,162,0,4,0,25,0,8,0,6,0
PetClinicModulithAsync,org.springframework.samples.Owner.service,OwnerManagement,34,142,0,6,6,29,2,9,2,6
PetClinicModulithAsync,org.springframework.samples.Pet.model,Pet,10,66,0,0,3,25,3,12,3,12
PetClinicModulithAsync,org.springframework.samples.Pet.model,PetTypeBuilder,0,38,0,0,0,12,0,5,0,5
PetClinicModulithAsync,org.springframework.samples.Pet.model,PetType,9,17,0,0,4,8,2,5,2,5
PetClinicModulithAsync,org.springframework.samples.Pet.model,PetBuilder,0,80,0,0,0,23,0,8,0,8
PetClinicModulithAsync,org.springframework.samples.Pet.model,PetVisitBuilder,49,0,0,0,14,0,7,0,7,0
PetClinicModulithAsync,org.springframework.samples.Pet.model,Pet.Visit,15,0,0,0,1,0,1,0,1,0
PetClinicModulithAsync,org.springframework.samples.Visit.model,Visit,22,34,2,0,7,15,3,9,2,9
PetClinicModulithAsync,org.springframework.samples.Visit.model,VisitBuilder,0,62,0,0,0,19,0,7,0,7
PetClinicModulithAsync,org.springframework.samples.Vet.service,VetManagement,0,15,0,0,0,3,0,3,0,3
PetClinicModulithAsync,org.springframework.samples.Owner.controller,OwnerController,23,208,4,12,4,48,5,15,2,10
PetClinicModulithAsync,org.springframework.samples.Visit.repository,VisitRepositoryImpl,62,0,0,0,10,0,5,0,5,0
PetClinicModulithAsync,org.springframework.samples.Pet.controller,PetController,9,121,2,12,2,30,3,12,1,7
PetClinicModulithAsync,org.springframework.samples.Pet.service,PetManagement,29,60,0,2,3,9,1,6,1,5
PetClinicModulithAsync,org.springframework.samples.Pet.service,PetTypeFormatter,38,0,4,0,10,0,5,0,3,0
